rating,date
5.0,2019-09-25
4.0,2020-06-08
5.0,2020-08-21
5.0,2020-01-17
1.0,2020-03-01
5.0,2019-08-12
5.0,2019-11-05
5.0,2020-05-18
5.0,2020-01-17
5.0,2020-03-09
4.0,2019-11-18
4.0,2020-05-19
5.0,2019-11-18
4.0,2019-02-27
5.0,2019-11-26
1.0,2019-12-03
5.0,2020-09-15
5.0,2019-07-03
4.0,2020-07-10
5.0,2019-03-21
4.0,2020-07-02
3.0,2020-02-10
5.0,2020-03-03
3.0,2019-09-10
5.0,2019-08-09
4.0,2020-08-24
5.0,2019-04-16
5.0,2020-01-26
5.0,2019-12-16
5.0,2020-08-09
5.0,2019-07-10
5.0,2020-02-28
5.0,2019-05-02
5.0,2020-08-12
5.0,2019-06-20
5.0,2019-09-01
5.0,2020-01-30
5.0,2019-02-18
5.0,2020-08-31
5.0,2019-07-25
5.0,2020-07-06
5.0,2019-07-04
5.0,2020-02-26
4.0,2019-08-03
5.0,2019-02-25
5.0,2019-10-22
4.0,2019-08-14
1.0,2019-06-17
5.0,2020-01-08
5.0,2019-07-08
5.0,2020-05-24
5.0,2020-06-12
5.0,2020-06-24
5.0,2020-08-10
5.0,2020-06-05
5.0,2020-08-07
2.0,2020-05-20
5.0,2020-01-15
2.0,2019-05-27
5.0,2020-06-08
5.0,2019-11-04
5.0,2019-07-14
5.0,2020-08-02
5.0,2019-10-02
1.0,2020-07-26
5.0,2019-10-06
5.0,2019-03-17
4.0,2019-06-21
5.0,2019-08-03
3.0,2020-03-15
3.0,2020-08-02
3.0,2019-09-02
5.0,2019-12-06
4.0,2019-07-16
5.0,2020-07-19
1.0,2020-08-05
5.0,2019-10-15
5.0,2019-05-23
5.0,2020-08-10
5.0,2019-10-25
5.0,2019-05-30
4.0,2019-02-16
5.0,2020-08-29
3.0,2020-05-31
5.0,2020-07-06
3.0,2019-07-14
5.0,2020-06-22
5.0,2019-03-14
5.0,2020-07-16
3.0,2020-09-04
4.0,2020-09-15
4.0,2019-07-30
2.0,2019-08-17
5.0,2020-06-05
5.0,2019-03-16
1.0,2020-04-21
5.0,2020-06-16
3.0,2020-03-05
4.0,2019-12-28
5.0,2019-07-06
5.0,2019-10-03
5.0,2019-09-18
5.0,2020-09-08
5.0,2020-06-04
5.0,2020-09-15
5.0,2020-09-15
5.0,2020-05-30
5.0,2019-03-10
5.0,2019-11-11
5.0,2020-02-27
3.0,2020-07-20
5.0,2019-07-26
5.0,2020-07-08
5.0,2020-06-29
5.0,2019-07-16
5.0,2020-07-25
4.0,2020-07-13
4.0,2020-08-13
2.0,2020-07-08
5.0,2020-07-03
5.0,2019-08-03
4.0,2019-07-28
4.0,2019-07-06
5.0,2019-07-19
5.0,2019-12-29
5.0,2019-08-22
5.0,2020-08-08
5.0,2019-07-14
4.0,2020-01-10
5.0,2020-06-14
5.0,2019-09-27
5.0,2019-08-20
5.0,2019-11-06
1.0,2019-09-25
5.0,2019-08-24
3.0,2019-09-01
5.0,2019-08-19
5.0,2020-09-16
1.0,2020-01-06
5.0,2020-08-02
1.0,2019-07-17
4.0,2019-12-16
5.0,2019-04-03
1.0,2020-09-14
5.0,2020-06-20
3.0,2019-10-28
1.0,2019-11-30
5.0,2019-03-01
2.0,2019-07-26
5.0,2020-08-23
5.0,2020-07-27
5.0,2019-05-11
5.0,2019-10-08
4.0,2020-07-11
5.0,2019-03-05
4.0,2019-03-12
5.0,2019-04-23
5.0,2020-02-06
5.0,2020-08-05
3.0,2019-11-09
5.0,2019-08-01
5.0,2019-10-08
5.0,2020-05-31
5.0,2019-03-11
5.0,2019-02-28
5.0,2020-07-11
4.0,2019-10-13
3.0,2020-05-28
5.0,2020-07-13
4.0,2020-09-14
5.0,2020-02-29
4.0,2020-05-26
5.0,2019-07-21
5.0,2020-05-18
4.0,2020-02-29
5.0,2019-10-27
5.0,2020-07-19
4.0,2020-09-05
4.0,2020-08-16
5.0,2019-04-03
4.0,2020-07-25
3.0,2019-05-03
4.0,2019-08-19
5.0,2019-11-07
4.0,2019-07-03
5.0,2020-07-13
1.0,2020-06-22
5.0,2020-06-28
4.0,2020-04-30
1.0,2019-07-19
5.0,2020-08-13
5.0,2020-09-06
5.0,2020-06-26
5.0,2020-06-22
5.0,2019-08-05
5.0,2019-10-15
5.0,2019-09-20
4.0,2020-09-08
5.0,2019-10-31
5.0,2020-07-25
5.0,2020-06-16
5.0,2020-09-08
5.0,2019-10-07
5.0,2020-07-15
5.0,2020-09-05
5.0,2020-05-30
5.0,2019-03-01
5.0,2019-11-06
4.0,2019-08-14
1.0,2019-09-21
1.0,2019-11-25
5.0,2020-07-05
5.0,2020-05-25
4.0,2019-05-29
5.0,2019-06-24
3.0,2019-03-03
5.0,2020-06-20
5.0,2019-10-03
5.0,2019-08-20
4.0,2019-05-29
5.0,2019-06-03
4.0,2020-03-09
5.0,2019-07-01
4.0,2019-07-11
5.0,2019-07-07
4.0,2020-01-29
5.0,2020-09-09
5.0,2020-07-24
5.0,2020-09-13
5.0,2019-03-05
1.0,2019-08-25
5.0,2020-06-01
5.0,2020-08-20
5.0,2019-10-29
5.0,2020-08-14
5.0,2019-07-16
5.0,2020-08-06
5.0,2019-09-22
5.0,2019-05-13
5.0,2020-06-26
4.0,2020-06-18
5.0,2020-06-04
3.0,2020-09-03
5.0,2020-07-08
5.0,2020-08-02
5.0,2019-03-04
5.0,2019-10-20
5.0,2020-06-23
5.0,2019-07-04
4.0,2019-07-05
5.0,2020-09-02
5.0,2019-10-09
4.0,2020-07-13
5.0,2019-08-20
3.0,2019-10-30
5.0,2020-06-07
5.0,2020-06-05
5.0,2019-10-18
5.0,2019-06-07
4.0,2019-09-05
1.0,2019-10-29
5.0,2019-12-06
5.0,2019-11-04
1.0,2020-08-26
5.0,2019-08-04
4.0,2020-09-06
5.0,2019-07-05
5.0,2020-06-07
2.0,2019-05-19
3.0,2020-07-20
5.0,2020-01-25
2.0,2019-10-11
5.0,2019-09-29
5.0,2019-10-18
3.0,2020-05-01
1.0,2019-10-11
5.0,2020-06-14
5.0,2019-11-09
5.0,2019-08-16
5.0,2019-07-05
5.0,2019-11-13
4.0,2019-10-06
5.0,2019-12-03
5.0,2019-10-26
5.0,2020-09-13
3.0,2020-07-31
5.0,2020-09-16
5.0,2019-04-08
5.0,2020-06-23
5.0,2019-08-20
2.0,2019-09-21
5.0,2019-06-07
5.0,2019-03-10
5.0,2019-06-18
5.0,2019-10-19
5.0,2019-04-09
4.0,2019-03-11
5.0,2019-05-09
4.0,2020-06-22
5.0,2019-05-22
5.0,2019-08-23
5.0,2019-11-02
5.0,2019-07-11
5.0,2019-11-30
5.0,2019-10-19
5.0,2020-03-04
2.0,2019-08-12
5.0,2020-06-10
3.0,2020-06-06
5.0,2020-03-06
5.0,2020-03-20
4.0,2019-11-14
5.0,2019-08-12
5.0,2019-10-04
5.0,2019-05-04
5.0,2019-10-17
1.0,2019-09-06
4.0,2019-07-26
5.0,2019-12-08
5.0,2019-06-07
5.0,2019-02-06
4.0,2020-07-21
5.0,2019-08-23
5.0,2019-12-11
5.0,2020-01-06
5.0,2020-07-26
4.0,2019-10-08
5.0,2020-09-13
4.0,2019-10-31
5.0,2019-07-11
5.0,2019-11-01
4.0,2020-09-16
3.0,2020-08-10
5.0,2020-07-27
2.0,2019-05-03
5.0,2019-07-17
1.0,2019-08-13
4.0,2019-10-01
4.0,2020-09-15
5.0,2020-05-19
4.0,2020-08-30
3.0,2019-11-17
5.0,2019-07-16
5.0,2020-06-13
5.0,2019-03-24
5.0,2019-12-23
5.0,2020-06-22
5.0,2019-09-28
4.0,2020-06-03
5.0,2019-08-06
1.0,2020-09-06
5.0,2019-10-29
5.0,2020-07-29
5.0,2020-09-09
5.0,2019-11-16
5.0,2019-07-04
3.0,2019-05-14
5.0,2019-10-22
4.0,2020-03-05
